"WBXP092.Code.or.Value","WBXP092.Value.Description","WBXP092.Count","WBXP092.Cumulative","WBXP092.Skip.to.Item"
"-151.0835 to 155.5009","Range of Values",5671,5671,NA
".","Missing",11,5682,NA
