"LBXDFSF.Code.or.Value","LBXDFSF.Value.Description","LBXDFSF.Count","LBXDFSF.Cumulative","LBXDFSF.Skip.to.Item"
"0.11 to 102.3","Range of Values",87,87,NA
".","Missing",998,1085,NA
