"LBDSUASI.Code.or.Value","LBDSUASI.Value.Description","LBDSUASI.Count","LBDSUASI.Cumulative","LBDSUASI.Skip.to.Item"
"95.2 to 814.9","Range of Values",6230,6230,NA
".","Missing",528,6758,NA
