"PAQ670.Code.or.Value","PAQ670.Value.Description","PAQ670.Count","PAQ670.Cumulative","PAQ670.Skip.to.Item"
"1 to 7","Range of Values",2952,2952,NA
"77","Refused",0,2952,NA
"99","Don't know",4,2956,NA
".","Missing",6299,9255,NA
