"OHQ885.Code.or.Value","OHQ885.Value.Description","OHQ885.Count","OHQ885.Cumulative","OHQ885.Skip.to.Item"
"1","Yes",950,950,NA
"2","No",3809,4759,NA
"7","Refused",0,4759,NA
"9","Don't know",54,4813,NA
".","Missing",4957,9770,NA
