"LBDBCOLC.Code.or.Value","LBDBCOLC.Value.Description","LBDBCOLC.Count","LBDBCOLC.Cumulative","LBDBCOLC.Skip.to.Item"
"0","At or above the detection limit",3454,3454,NA
"1","Below lower detection limit",0,3454,NA
".","Missing",156,3610,NA
