"PFQ061A.Code.or.Value","PFQ061A.Value.Description","PFQ061A.Count","PFQ061A.Cumulative","PFQ061A.Skip.to.Item"
"1","No difficulty",2071,2071,NA
"2","Some difficulty",197,2268,NA
"3","Much difficulty",56,2324,NA
"4","Unable to do",46,2370,NA
"5","Do not do this activity",141,2511,NA
"7","Refused",1,2512,NA
"9","Don't know",0,2512,NA
".","Missing",5838,8350,NA
