"CIQG16.Code.or.Value","CIQG16.Value.Description","CIQG16.Count","CIQG16.Cumulative","CIQG16.Skip.to.Item"
"1","Often",25,25,NA
"2","Sometimes",38,63,NA
"3","Rarely",14,77,NA
"4","Never",3,80,NA
"7","Refused",0,80,NA
"9","Don't know",0,80,NA
".","Missing",848,928,NA
