"LBXTFR.Code.or.Value","LBXTFR.Value.Description","LBXTFR.Count","LBXTFR.Cumulative","LBXTFR.Skip.to.Item"
"1.3 to 23.6","Range of Values",2486,2486,NA
".","Missing",692,3178,NA
