"OHD12LAS.Code.or.Value","OHD12LAS.Value.Description","OHD12LAS.Count","OHD12LAS.Cumulative","OHD12LAS.Skip.to.Item"
"0 to 8","Range of Values",2322,2322,NA
"99","Calculation cannot be determined",469,2791,NA
".","Missing",4339,7130,NA
