"DXDTOTOT.Code.or.Value","DXDTOTOT.Value.Description","DXDTOTOT.Count","DXDTOTOT.Cumulative","DXDTOTOT.Skip.to.Item"
"18963.1 to 180889.1","Range of Values",3658,3658,NA
".","Missing",1456,5114,NA
