"DR2IM201.Code.or.Value","DR2IM201.Value.Description","DR2IM201.Count","DR2IM201.Cumulative","DR2IM201.Skip.to.Item"
"0 to 3.288","Range of Values",128570,128570,NA
".","Missing",571,129141,NA
