"DR2TCAFF.Code.or.Value","DR2TCAFF.Value.Description","DR2TCAFF.Count","DR2TCAFF.Cumulative","DR2TCAFF.Skip.to.Item"
"0 to 5040","Range of Values",6502,6502,NA
".","Missing",2202,8704,NA
