"LBXCOT.Code.or.Value","LBXCOT.Value.Description","LBXCOT.Count","LBXCOT.Cumulative","LBXCOT.Skip.to.Item"
"0.011 to 1820","Range of Values",8029,8029,NA
".","Missing",884,8913,NA
