"WBXP006.Code.or.Value","WBXP006.Value.Description","WBXP006.Count","WBXP006.Cumulative","WBXP006.Skip.to.Item"
"-163.4463 to 170.966","Range of Values",8551,8551,NA
".","Missing",3,8554,NA
