"LBCBR6LA.Code.or.Value","LBCBR6LA.Value.Description","LBCBR6LA.Count","LBCBR6LA.Cumulative","LBCBR6LA.Skip.to.Item"
"1.2 to 36.3","Range of Values",264,264,NA
".","Missing",0,264,NA
