"LBXSF1SI.Code.or.Value","LBXSF1SI.Value.Description","LBXSF1SI.Count","LBXSF1SI.Cumulative","LBXSF1SI.Skip.to.Item"
"3.16 to 1370","Range of Values",8057,8057,NA
".","Missing",1108,9165,NA
