"SSDPHP.Code.or.Value","SSDPHP.Value.Description","SSDPHP.Count","SSDPHP.Cumulative","SSDPHP.Skip.to.Item"
"0.11 to 193","Range of Values",2312,2312,NA
".","Missing",5,2317,NA
