"CIQD029.Code.or.Value","CIQD029.Value.Description","CIQD029.Count","CIQD029.Cumulative","CIQD029.Skip.to.Item"
"1","Yes",75,75,NA
"2","No",33,108,NA
"7","Refuse",0,108,NA
"9","Don't know",1,109,NA
".","Missing",669,778,NA
