"DXXHEFAT.Code.or.Value","DXXHEFAT.Value.Description","DXXHEFAT.Count","DXXHEFAT.Cumulative","DXXHEFAT.Skip.to.Item"
"678.6 to 1879.7","Range of Values",4072,4072,NA
".","Missing",1042,5114,NA
