"LBXD03LA.Code.or.Value","LBXD03LA.Value.Description","LBXD03LA.Count","LBXD03LA.Cumulative","LBXD03LA.Skip.to.Item"
"1.8 to 389","Range of Values",1885,1885,NA
".","Missing",389,2274,NA
