"DXXWDBMC.Code.or.Value","DXXWDBMC.Value.Description","DXXWDBMC.Count","DXXWDBMC.Cumulative","DXXWDBMC.Skip.to.Item"
"0.09 to 2.15","Range of Values",6963,6963,NA
".","Missing",1222,8185,NA
