"WTSAU25.Code.or.Value","WTSAU25.Value.Description","WTSAU25.Count","WTSAU25.Cumulative","WTSAU25.Skip.to.Item"
"0 to 477392.60036","Range of Values",1719,1719,NA
".","Missing",88,1807,NA
