"DR2TP226.Code.or.Value","DR2TP226.Value.Description","DR2TP226.Count","DR2TP226.Cumulative","DR2TP226.Skip.to.Item"
"0 to 4.36","Range of Values",8264,8264,NA
".","Missing",1686,9950,NA
