"AUDTYL53.Code.or.Value","AUDTYL53.Value.Description","AUDTYL53.Count","AUDTYL53.Cumulative","AUDTYL53.Skip.to.Item"
"0 to 2.91","Range of Values",1139,1139,NA
".","Missing",71,1210,NA
