"BMXWT.Code.or.Value","BMXWT.Value.Description","BMXWT.Count","BMXWT.Cumulative","BMXWT.Skip.to.Item"
"3.3 to 196.8","Range of Values",9825,9825,NA
".","Missing",652,10477,NA
