"BIXS159K.Code.or.Value","BIXS159K.Value.Description","BIXS159K.Count","BIXS159K.Cumulative","BIXS159K.Skip.to.Item"
"138.64 to 901.88","Range of Values",4709,4709,NA
".","Missing",1240,5949,NA
