"HUQ010.Code.or.Value","HUQ010.Value.Description","HUQ010.Count","HUQ010.Cumulative","HUQ010.Skip.to.Item"
"1","Excellent,",2530,2530,NA
"2","Very good,",2551,5081,NA
"3","Good,",3121,8202,NA
"4","Fair, or",1277,9479,NA
"5","Poor?",275,9754,NA
"7","Refused",1,9755,NA
"9","Don't know",1,9756,NA
".","Missing",0,9756,NA
