"PHDSESN.Code.or.Value","PHDSESN.Value.Description","PHDSESN.Count","PHDSESN.Cumulative","PHDSESN.Skip.to.Item"
"0","morning",4142,4142,NA
"1","afternoon",3063,7205,NA
"2","evening",1627,8832,NA
".","Missing",0,8832,NA
