"DR2TCHL.Code.or.Value","DR2TCHL.Value.Description","DR2TCHL.Count","DR2TCHL.Cumulative","DR2TCHL.Skip.to.Item"
"0 to 2508.4","Range of Values",8288,8288,NA
".","Missing",1965,10253,NA
