"CIQG15.Code.or.Value","CIQG15.Value.Description","CIQG15.Count","CIQG15.Cumulative","CIQG15.Skip.to.Item"
"1","Often",27,27,NA
"2","Sometimes",35,62,NA
"3","Rarely",17,79,NA
"4","Never",11,90,NA
"7","Refused",0,90,NA
"9","Don't know",1,91,NA
".","Missing",687,778,NA
