"RFXT119.Code.or.Value","RFXT119.Value.Description","RFXT119.Count","RFXT119.Cumulative","RFXT119.Skip.to.Item"
"1035 to 1044","Range of Values",51057,51057,NA
".","Missing",19,51076,NA
