"DR1IVB12.Code.or.Value","DR1IVB12.Value.Description","DR1IVB12.Count","DR1IVB12.Cumulative","DR1IVB12.Skip.to.Item"
"0 to 280.29","Range of Values",125737,125737,NA
".","Missing",766,126503,NA
