"LBXRBF.Code.or.Value","LBXRBF.Value.Description","LBXRBF.Count","LBXRBF.Cumulative","LBXRBF.Skip.to.Item"
"28 to 2352","Range of Values",7614,7614,NA
".","Missing",1218,8832,NA
