"FSD032F.Code.or.Value","FSD032F.Value.Description","FSD032F.Count","FSD032F.Cumulative","FSD032F.Skip.to.Item"
"1","Often true",89,89,NA
"2","Sometimes true",382,471,NA
"3","Never true",5942,6413,NA
"7","Refused",16,6429,NA
"9","Don't know",1,6430,NA
".","Missing",3541,9971,NA
