"ECQ130.Code.or.Value","ECQ130.Value.Description","ECQ130.Count","ECQ130.Cumulative","ECQ130.Skip.to.Item"
"0 to 24","Range of Values",1083,1083,NA
"7777","Refused",0,1083,NA
"9999","Don't know",0,1083,NA
".","Missing",2838,3921,NA
