"MCQ260FE.Code.or.Value","MCQ260FE.Value.Description","MCQ260FE.Count","MCQ260FE.Cumulative","MCQ260FE.Skip.to.Item"
"5","Father's mother",67,67,"MCQ250G"
".","Missing",10403,10470,""
