"BIXC649K.Code.or.Value","BIXC649K.Value.Description","BIXC649K.Count","BIXC649K.Cumulative","BIXC649K.Skip.to.Item"
"12.23 to 2514.87","Range of Values",4298,4298,NA
".","Missing",1031,5329,NA
