"URXVOL3.Code.or.Value","URXVOL3.Value.Description","URXVOL3.Count","URXVOL3.Cumulative","URXVOL3.Skip.to.Item"
"0 to 300","Range of Values",64,64,NA
".","Missing",7757,7821,NA
