"LBXSBU.Code.or.Value","LBXSBU.Value.Description","LBXSBU.Count","LBXSBU.Cumulative","LBXSBU.Skip.to.Item"
"2 to 91","Range of Values",6492,6492,NA
".","Missing",498,6990,NA
