"URDOXYLC.Code.or.Value","URDOXYLC.Value.Description","URDOXYLC.Count","URDOXYLC.Cumulative","URDOXYLC.Skip.to.Item"
"0","At or above the detection limit",387,387,NA
"1","Below lower detection limit",2360,2747,NA
".","Missing",84,2831,NA
