"LBDFBSI.Code.or.Value","LBDFBSI.Value.Description","LBDFBSI.Count","LBDFBSI.Cumulative","LBDFBSI.Skip.to.Item"
"1.18 to 9.14","Range of Values",3010,3010,NA
".","Missing",6252,9262,NA
