"URXCPM.Code.or.Value","URXCPM.Value.Description","URXCPM.Count","URXCPM.Cumulative","URXCPM.Skip.to.Item"
"0.07 to 26.1","Range of Values",2747,2747,NA
".","Missing",84,2831,NA
