"DRXTPROT.Code.or.Value","DRXTPROT.Value.Description","DRXTPROT.Count","DRXTPROT.Cumulative","DRXTPROT.Skip.to.Item"
"0 to 718.42","Range of Values",9701,9701,NA
".","Missing",776,10477,NA
