"LBXML1.Code.or.Value","LBXML1.Value.Description","LBXML1.Count","LBXML1.Cumulative","LBXML1.Skip.to.Item"
"1","Sensitive",293,293,NA
"2","Resistant",62,355,NA
"3","Intermediate",15,370,NA
"4","No Result",0,370,NA
".","Missing",8809,9179,NA
