"LBXV06.Code.or.Value","LBXV06.Value.Description","LBXV06.Count","LBXV06.Cumulative","LBXV06.Skip.to.Item"
"0.0863 to 17.3","Range of Values",2640,2640,NA
".","Missing",654,3294,NA
