"MCQ245B.Code.or.Value","MCQ245B.Value.Description","MCQ245B.Count","MCQ245B.Cumulative","MCQ245B.Skip.to.Item"
"0 to 365","Range of Values",3842,3842,NA
"77777","Refused",0,3842,NA
"99999","Don't know",2,3844,NA
".","Missing",5978,9822,NA
