"MCQ240z.Code.or.Value","MCQ240z.Value.Description","MCQ240z.Count","MCQ240z.Cumulative","MCQ240z.Skip.to.Item"
"45 to 73","Range of Values",3,3,NA
"80","80 years or older",0,3,NA
"77777","Refused",0,3,NA
"99999","Don't know",0,3,NA
".","Missing",9767,9770,NA
