"FFQ0139A.Code.or.Value","FFQ0139A.Value.Description","FFQ0139A.Count","FFQ0139A.Cumulative","FFQ0139A.Skip.to.Item"
1,"Olive",2555,2555,NA
88,"Blank",3917,6472,NA
99,"Error",0,6472,NA
