"URXTRS.Code.or.Value","URXTRS.Value.Description","URXTRS.Count","URXTRS.Cumulative","URXTRS.Skip.to.Item"
"1.2 to 3629.1","Range of Values",2651,2651,NA
".","Missing",152,2803,NA
