"PFQ061M.Code.or.Value","PFQ061M.Value.Description","PFQ061M.Count","PFQ061M.Cumulative","PFQ061M.Skip.to.Item"
"1","No difficulty",1130,1130,NA
"2","Some difficulty",463,1593,NA
"3","Much difficulty",209,1802,NA
"4","Unable to do",296,2098,NA
"5","Do not do this activity",50,2148,NA
"7","Refused",0,2148,NA
"9","Don't know",5,2153,NA
".","Missing",7669,9822,NA
