"MCQ160B.Code.or.Value","MCQ160B.Value.Description","MCQ160B.Count","MCQ160B.Cumulative","MCQ160B.Skip.to.Item"
"1","Yes",174,174,""
"2","No",6025,6199,"MCQ160C"
"7","Refused",0,6199,"MCQ160C"
"9","Don't know",19,6218,"MCQ160C"
".","Missing",3891,10109,""
