"FSD650ZW.Code.or.Value","FSD650ZW.Value.Description","FSD650ZW.Count","FSD650ZW.Cumulative","FSD650ZW.Skip.to.Item"
"1","Yes",93,93,""
"2","No",101,194,"End of Section"
"7","Refused",0,194,"End of Section"
"9","Don't know",0,194,"End of Section"
".","Missing",9562,9756,""
