"OSQ020b.Code.or.Value","OSQ020b.Value.Description","OSQ020b.Count","OSQ020b.Cumulative","OSQ020b.Skip.to.Item"
"1 to 7","Range of Values",471,471,""
"7777","Refused",0,471,"OSQ010c"
"9999","Don't know",1,472,"OSQ010c"
".","Missing",4507,4979,""
