"URXP17.Code.or.Value","URXP17.Value.Description","URXP17.Count","URXP17.Cumulative","URXP17.Skip.to.Item"
"12.3 to 30562.7","Range of Values",2422,2422,NA
".","Missing",216,2638,NA
