"DUQ272.Code.or.Value","DUQ272.Value.Description","DUQ272.Count","DUQ272.Cumulative","DUQ272.Skip.to.Item"
"1","Once",50,50,NA
"2","2-5 times",147,197,NA
"3","6-19 times",122,319,NA
"4","20-49 times",119,438,NA
"5","50-99 times",68,506,NA
"6","100 times or more",107,613,NA
"77","Refused",6,619,NA
"99","Don't know",1,620,NA
".","Missing",4005,4625,NA
