"MPQ120j.Code.or.Value","MPQ120j.Value.Description","MPQ120j.Count","MPQ120j.Cumulative","MPQ120j.Skip.to.Item"
"19","Lower arm - left",55,55,NA
".","Missing",4825,4880,NA
