"SPFOS.Code.or.Value","SPFOS.Value.Description","SPFOS.Count","SPFOS.Cumulative","SPFOS.Skip.to.Item"
"0.3 to 298","Range of Values",1456,1456,NA
".","Missing",0,1456,NA
