"URDMHHLC.Code.or.Value","URDMHHLC.Value.Description","URDMHHLC.Count","URDMHHLC.Cumulative","URDMHHLC.Skip.to.Item"
"0","At or above the detection limit",2538,2538,NA
"1","Below lower detection limit",10,2548,NA
".","Missing",90,2638,NA
