"DS2IFIBE.Code.or.Value","DS2IFIBE.Value.Description","DS2IFIBE.Count","DS2IFIBE.Cumulative","DS2IFIBE.Skip.to.Item"
"0.0693 to 36","Range of Values",178,178,NA
".","Missing",5470,5648,NA
