"DSDCOUNT.Code.or.Value","DSDCOUNT.Value.Description","DSDCOUNT.Count","DSDCOUNT.Cumulative","DSDCOUNT.Skip.to.Item"
"0 to 21","Range of Values",11018,11018,NA
"77","Refused",9,11027,NA
"99","Don't know",8,11035,NA
".","Missing",4,11039,NA
