"HCQ140E.Code.or.Value","HCQ140E.Value.Description","HCQ140E.Count","HCQ140E.Cumulative","HCQ140E.Skip.to.Item"
"1","Yes",4,4,NA
"2","No",2,6,NA
"7","Refused",1,7,NA
"9","Don't know",0,7,NA
".","Missing",80,87,NA
