"DS2IVD.Code.or.Value","DS2IVD.Value.Description","DS2IVD.Count","DS2IVD.Cumulative","DS2IVD.Skip.to.Item"
"0.5 to 1250","Range of Values",2237,2237,NA
".","Missing",3411,5648,NA
