"DS2IVB2.Code.or.Value","DS2IVB2.Value.Description","DS2IVB2.Count","DS2IVB2.Cumulative","DS2IVB2.Skip.to.Item"
"0.0297 to 250","Range of Values",1781,1781,NA
".","Missing",3867,5648,NA
